Fecha,Presion,Altitud,Humedad,Temperatura,Ocupacion
"2019-10-01 11:24:44	",95357.56,509.12,59.89,26.78,M
"2019-10-01 11:24:45	",95358.38,509.04,60.21,26.8,M
"2019-10-01 11:24:46	",95354.84,509.35,60.28,26.81,M
"2019-10-01 11:24:47	",95357.92,509.08,60.47,26.83,M
"2019-10-01 11:24:48	",95354.59,509.38,60.56,26.83,M
"2019-10-01 11:24:49	",95353.98,509.4,60.77,26.85,M
"2019-10-01 11:24:50	",95356.39,509.22,61.15,26.87,M
"2019-10-01 11:24:51	",95355.48,509.3,61.4,26.88,M
"2019-10-01 11:24:52	",95356.61,509.2,61.26,26.89,M
"2019-10-01 11:24:53	",95353.26,509.49,60.93,26.89,M
"2019-10-01 11:24:54	",95354.16,509.41,60.92,26.9,M
"2019-10-01 11:24:55	",95354.46,509.39,61.26,26.92,M
"2019-10-01 11:24:56	",95358.46,509.04,61.23,26.92,M
"2019-10-01 11:24:57	",95355.39,509.31,61.13,26.93,M
"2019-10-01 11:24:58	",95356.86,509.18,61.17,26.93,M
"2019-10-01 11:24:59	",95357.59,509.11,61.29,26.94,M
"2019-10-01 11:25:00	",95359.94,508.91,61.18,26.94,M
"2019-10-01 11:25:01	",95360.28,508.88,61.16,26.95,M
"2019-10-01 11:25:02	",95358.51,509.03,61.35,26.96,M
"2019-10-01 11:25:03	",95356.61,509.2,61.33,26.97,M
"2019-10-01 11:25:04	",95357.17,509.15,61.42,26.97,M
"2019-10-01 11:25:05	",95357.55,509.12,61.58,26.98,M
"2019-10-01 11:25:06	",95358.12,509.07,61.61,26.99,M
"2019-10-01 11:25:07	",95359.13,508.98,61.6,27,M
"2019-10-01 11:25:08	",95356.4,509.22,61.55,27,M
"2019-10-01 11:25:09	",95357.23,509.14,61.51,27,M
"2019-10-01 11:25:10	",95356.12,509.24,61.45,27,M
"2019-10-01 11:25:11	",95357.81,509.09,61.39,27.01,M
"2019-10-01 11:25:12	",95356.92,509.17,61.35,27.02,M
"2019-10-01 11:25:13	",95358.43,509.04,61.34,27.02,M
"2019-10-01 11:25:14	",95356.77,509.18,61.35,27.02,M
"2019-10-01 11:25:15	",95354.84,509.35,61.43,27.03,M
"2019-10-01 11:25:16	",95353.28,509.49,61.53,27.03,M
"2019-10-01 11:25:17	",95358.61,509.02,61.92,27.05,M
"2019-10-01 11:25:18	",95355.55,509.29,62.6,27.07,M
"2019-10-01 11:25:19	",95356.23,509.23,62.92,27.07,M
"2019-10-01 11:25:20	",95357.78,509.1,63.31,27.09,M
"2019-10-01 11:25:21	",95356.52,509.17,63.67,27.1,M
"2019-10-01 11:25:22	",95356.8,509.18,63.71,27.11,M
"2019-10-01 11:25:23	",95356.75,509.19,63.72,27.11,M
"2019-10-01 11:25:24	",95357.26,509.14,63.67,27.12,M
"2019-10-01 11:25:25	",95357.55,509.12,63.45,27.13,M
"2019-10-01 11:25:26	",95357.15,509.15,63.08,27.12,M
"2019-10-01 11:25:27	",95356.42,509.21,62.81,27.13,M
"2019-10-01 11:25:28	",95356.48,509.21,62.61,27.13,M
"2019-10-01 11:25:29	",95356.83,509.18,62.56,27.14,M
"2019-10-01 11:25:30	",95359.2,508.97,62.5,27.14,M
"2019-10-01 11:25:31	",95356.52,509.21,62.45,27.14,M
"2019-10-01 11:25:32	",95358.04,509.07,62.37,27.15,M
"2019-10-01 11:25:33	",95357.09,509.16,62.33,27.15,M
"2019-10-01 11:25:34	",95359.17,508.97,62.29,27.16,M
"2019-10-01 11:25:35	",95357,509.16,62.27,27.17,M
"2019-10-01 11:25:36	",95357.63,509.11,62.34,27.17,M
"2019-10-01 11:25:37	",95356.29,509.23,62.36,27.18,M
"2019-10-01 11:25:38	",95357.58,509.11,62.35,27.19,M
"2019-10-01 11:25:39	",95359.09,508.98,62.24,27.19,M
"2019-10-01 11:25:40	",95355.11,509.33,62.65,27.2,M
"2019-10-01 11:25:41	",95358.3,509.05,63.02,27.21,M
"2019-10-01 11:25:42	",95353.11,509.5,63.01,27.22,M
"2019-10-01 11:25:43	",95353.84,509.44,62.97,27.22,M
"2019-10-01 11:25:44	",95355.59,509.29,63.04,27.23,M
"2019-10-01 11:25:45	",95354.09,509.42,63.18,27.24,M
"2019-10-01 11:25:46	",95351.35,509.66,63.39,27.24,M
"2019-10-01 11:25:47	",95354.8,509.36,63.59,27.26,M
"2019-10-01 11:25:48	",95354.36,509.4,63.71,27.26,M
"2019-10-01 11:25:49	",95351.45,509.65,63.72,27.26,M
"2019-10-01 11:25:50	",95352.52,509.56,63.66,27.27,M
"2019-10-01 11:25:51	",95354.83,509.35,63.53,27.28,M
"2019-10-01 11:25:52	",95353.09,509.51,63.39,27.28,M
"2019-10-01 11:25:53	",95352.14,509.59,63.16,27.28,M
"2019-10-01 11:25:54	",95354.5,509.38,62.97,27.29,M
"2019-10-01 11:25:55	",95351.42,509.65,62.88,27.28,M
"2019-10-01 11:25:56	",95353.95,509.43,63.16,27.3,M
"2019-10-01 11:25:57	",95353.43,509.48,63.5,27.31,M
"2019-10-01 11:25:58	",95351.98,509.6,63.69,27.32,M
"2019-10-01 11:25:59	",95353.73,509.45,64.04,27.33,M
"2019-10-01 11:26:00	",95350.44,509.74,64.44,27.34,M
"2019-10-01 11:26:01	",95352.19,509.59,64.8,27.36,M
"2019-10-01 11:26:02	",95352.64,509.55,64.86,27.36,M
"2019-10-01 11:26:03	",95354.64,509.37,64.99,27.38,M
"2019-10-01 11:26:04	",95352.8,509.53,65.22,27.38,M
"2019-10-01 11:26:05	",95352.81,509.53,65.39,27.39,M
"2019-10-01 11:26:06	",95351.75,509.62,65.17,27.4,M
"2019-10-01 11:26:07	",95351.81,509.62,64.74,27.4,M
"2019-10-01 11:26:08	",95352.77,509.53,64.39,27.4,M
"2019-10-01 11:26:09	",95351.37,509.66,64.14,27.41,M
"2019-10-01 11:26:10	",95351.04,509.69,64.04,27.41,M
"2019-10-01 11:26:11	",95352.72,509.51,64.25,27.42,M
"2019-10-01 11:26:12	",95351.75,509.62,64.23,27.43,M
"2019-10-01 11:26:13	",95351.14,509.68,64.11,27.43,M
"2019-10-01 11:26:14	",95352.72,509.54,63.96,27.44,M
"2019-10-01 11:26:15	",95354.23,509.41,63.74,27.44,M
"2019-10-01 11:26:16	",95351.83,509.62,63.45,27.44,M
"2019-10-01 11:26:17	",95353.34,509.48,63.17,27.45,M
"2019-10-01 11:26:18	",95352.17,509.59,62.97,27.45,M
"2019-10-01 11:26:19	",95350.38,509.74,62.82,27.45,M
"2019-10-01 11:26:20	",95349.22,509.84,62.83,27.46,M
"2019-10-01 11:26:21	",95351.8,509.62,62.96,27.47,M
"2019-10-01 11:26:22	",95349.7,509.8,63.14,27.48,M
"2019-10-01 11:26:23	",95351.5,509.64,63.27,27.48,M
"2019-10-01 11:26:24	",95356.04,509.25,63.31,27.5,M
"2019-10-01 11:26:25	",95362.81,508.66,63,27.5,M
"2019-10-01 11:26:26	",95362.41,508.69,62.42,27.5,M
"2019-10-01 11:26:27	",95362.73,508.66,62.15,27.5,M
"2019-10-01 11:26:28	",95365.87,508.39,62.08,27.51,M
"2019-10-01 11:26:29	",95364.19,508.54,62.02,27.51,M
"2019-10-01 11:26:30	",95361.56,508.77,61.96,27.51,M
"2019-10-01 11:26:31	",95363.69,508.58,61.87,27.52,M
"2019-10-01 11:26:32	",95362.19,508.71,61.76,27.52,M
"2019-10-01 11:26:33	",95364.54,508.51,61.67,27.52,M
"2019-10-01 11:26:34	",95361.86,508.74,61.57,27.52,M
"2019-10-01 11:26:35	",95362.5,508.68,61.48,27.53,M
"2019-10-01 11:26:36	",95363.84,508.57,61.43,27.53,M
"2019-10-01 11:26:37	",95363.51,508.6,61.35,27.53,M
"2019-10-01 11:26:38	",95363.29,508.61,61.22,27.54,M
"2019-10-01 11:26:39	",95364.97,508.47,61.05,27.54,M
"2019-10-01 11:26:40	",95365.03,508.46,60.96,27.54,M
"2019-10-01 11:26:41	",95358.87,509,60.85,27.54,M
"2019-10-01 11:26:42	",95364.25,508.53,60.74,27.54,M
"2019-10-01 11:26:43	",95365.03,508.46,60.71,27.55,M
"2019-10-01 11:26:44	",95362.86,508.65,60.67,27.55,M
"2019-10-01 11:26:45	",95364.48,508.51,60.64,27.55,M
"2019-10-01 11:26:46	",95364.66,508.5,60.59,27.56,M
"2019-10-01 11:26:47	",95365.61,508.41,60.49,27.56,M
"2019-10-01 11:26:48	",95365.62,508.41,60.41,27.57,M
"2019-10-01 11:26:49	",95362.99,508.64,60.32,27.57,M
"2019-10-01 11:26:50	",95364.17,508.54,60.26,27.58,M
"2019-10-01 11:26:51	",95363.56,508.59,60.19,27.58,M
"2019-10-01 11:26:52	",95363.92,508.56,60.12,27.59,M
"2019-10-01 11:26:53	",95364.71,508.49,60.06,27.59,M
"2019-10-01 11:26:54	",95364.6,508.56,60.06,27.59,M
"2019-10-01 11:26:55	",95364.72,508.49,60,27.6,M
"2019-10-01 11:26:56	",95365.45,508.43,59.98,27.6,M
"2019-10-01 11:26:57	",95364.33,508.52,59.96,27.6,M
"2019-10-01 11:26:58	",95364.28,508.53,59.96,27.61,M
"2019-10-01 11:26:59	",95361.82,508.74,59.96,27.61,M
"2019-10-01 11:27:00	",95364.17,508.54,59.95,27.62,M
"2019-10-01 11:27:01	",95362.39,508.69,59.95,27.62,M
"2019-10-01 11:27:03	",95363.12,508.63,59.96,27.62,M
"2019-10-01 11:27:04	",95361.67,508.76,59.96,27.63,M
"2019-10-01 11:27:05	",95362.29,508.7,59.95,27.63,M
"2019-10-01 11:27:06	",95362.52,508.68,59.94,27.63,M
"2019-10-01 11:27:07	",95364.84,508.48,59.94,27.64,M
"2019-10-01 11:27:08	",95365.3,508.44,59.94,27.65,M
"2019-10-01 11:27:09	",95364.12,508.54,59.94,27.65,M
"2019-10-01 11:27:10	",95363.56,508.59,59.94,27.65,M
"2019-10-01 11:27:11	",95362.62,508.67,59.91,27.65,M
"2019-10-01 11:27:12	",95364.02,508.55,59.9,27.66,M
"2019-10-01 11:27:13	",95364.47,508.51,59.89,27.66,M
"2019-10-01 11:27:14	",95366.93,508.3,59.88,27.67,M
"2019-10-01 11:27:15	",95362.95,508.64,59.86,27.66,M
"2019-10-01 11:27:16	",95366.37,508.34,59.83,27.66,M
"2019-10-01 11:27:17	",95364.14,508.54,59.8,27.67,M
"2019-10-01 11:27:18	",95365.14,508.45,59.76,27.67,M
"2019-10-01 11:27:19	",95362.62,508.67,59.73,27.67,M
"2019-10-01 11:27:20	",95362.73,508.66,59.71,27.67,M
"2019-10-01 11:27:21	",95365.98,508.38,59.71,27.67,M
"2019-10-01 11:27:22	",95362.08,508.72,59.7,27.67,M
"2019-10-01 11:27:23	",95363.41,508.6,59.68,27.67,M
"2019-10-01 11:27:24	",95362.3,508.7,59.67,27.68,M
"2019-10-01 11:27:25	",95364.03,508.55,59.67,27.68,M
"2019-10-01 11:27:26	",95361.41,508.78,59.69,27.68,M
